import time: self [us] | cumulative | imported package
import time:       148 |        148 |               livekit.api._dial_timeout
import time:       328 |        475 |             livekit.api.sip_service
import time:       209 |        209 |             livekit.api.agent_dispatch_service
import time:       172 |        172 |             livekit.api.connector_service
import time:       352 |      28533 |           livekit.api.livekit_api
import time:       321 |        321 |           livekit.api.webhook
import time:       687 |      64206 |         livekit.api
import time:       377 |        377 |           livekit.rtc._proto
import time:       940 |        940 |           livekit.rtc._proto.stats_pb2
import time:       615 |        615 |           livekit.rtc._proto.e2ee_pb2
import time:       607 |        607 |             livekit.rtc._proto.handle_pb2
import time:       347 |        347 |             livekit.rtc._proto.track_pb2
import time:       288 |       1241 |           livekit.rtc._proto.participant_pb2
import time:       405 |        405 |             livekit.rtc._proto.video_frame_pb2
import time:       604 |        604 |             livekit.rtc._proto.data_stream_pb2
import time:       561 |        561 |             livekit.rtc._proto.data_track_pb2
import time:      1182 |       2751 |           livekit.rtc._proto.room_pb2
import time:       342 |        342 |           livekit.rtc._proto.track_publication_pb2
import time:      1202 |       1202 |               _ctypes
import time:       598 |        598 |               ctypes._endian
import time:       707 |       2507 |             ctypes
import time:       346 |        346 |                   importlib.resources.abc
import time:       362 |        707 |                 importlib.resources._common
import time:       212 |        212 |                 importlib.resources._functional
import time:       218 |       1136 |               importlib.resources
import time:       358 |        358 |               livekit.rtc.version
import time:       648 |        648 |                 livekit.rtc._proto.audio_frame_pb2
import time:       310 |        310 |                 livekit.rtc._proto.rpc_pb2
import time:       422 |       1379 |               livekit.rtc._proto.ffi_pb2
import time:       425 |        425 |               livekit.rtc._utils
import time:       258 |        258 |               livekit.rtc.log
import time:      1485 |       5038 |             livekit.rtc._ffi_client
import time:       425 |       7969 |           livekit.rtc.audio_frame
import time:       513 |        513 |           livekit.rtc.audio_source
import time:       204 |        204 |                   aiofiles.base
import time:       290 |        290 |                         aiofiles.threadpool.utils
import time:       281 |        570 |                       aiofiles.threadpool.binary
import time:       190 |        190 |                       aiofiles.threadpool.text
import time:       308 |       1067 |                     aiofiles.threadpool
import time:        14 |       1080 |                   aiofiles.threadpool.binary
import time:       230 |        230 |                   aiofiles.tempfile.temptypes
import time:       290 |       1802 |                 aiofiles.tempfile
import time:       358 |       2160 |               aiofiles
import time:      1794 |       1794 |               livekit.rtc.track
import time:       295 |        295 |               livekit.rtc.track_publication
import time:       666 |        666 |               livekit.rtc.transcription
import time:       438 |        438 |               livekit.rtc.rpc
import time:       986 |        986 |               livekit.rtc.data_stream
import time:       587 |        587 |               livekit.rtc.data_track
import time:       625 |       7547 |             livekit.rtc.participant
import time:       284 |        284 |               livekit.rtc.video_frame
import time:       281 |        565 |             livekit.rtc.frame_processor
import time:       423 |       8534 |           livekit.rtc.audio_stream
import time:       176 |        176 |           livekit.rtc.audio_filter
import time:       711 |        711 |           livekit.rtc.e2ee
import time:       158 |        158 |             livekit.rtc.event_emitter
import time:      1416 |       1574 |           livekit.rtc.room
import time:       134 |        134 |           livekit.rtc.video_source
import time:       573 |        573 |           livekit.rtc.video_stream
import time:       396 |        396 |           livekit.rtc.audio_resampler
import time:       472 |        472 |               numpy.version
import time:       302 |        302 |               numpy._expired_attrs_2_0
import time:       203 |        203 |                   numpy._utils._conversions
import time:       674 |        877 |                 numpy._utils
import time:       268 |       1144 |               numpy._globals
import time:        15 |         15 |                 numpy._distributor_init_local
import time:       305 |        319 |               numpy._distributor_init
import time:       231 |        231 |                         numpy.exceptions
import time:      2362 |       2362 |                         numpy._core._exceptions
import time:       299 |        299 |                         numpy._core.printoptions
import time:       303 |        303 |                         numpy.dtypes
import time:      3305 |       6498 |                       numpy._core._multiarray_umath
import time:       207 |        207 |                         numpy._utils._inspect
import time:       426 |        633 |                       numpy._core.overrides
import time:      1372 |       8502 |                     numpy._core.multiarray
import time:       226 |        226 |                     numpy._core.umath
import time:       210 |        210 |                       numpy._core._string_helpers
import time:       307 |        307 |                       numpy._core._type_aliases
import time:       383 |        900 |                     numpy._core.numerictypes
import time:       391 |        391 |                             numpy._core._methods
import time:      1260 |       1650 |                           numpy._core.fromnumeric
import time:      1017 |       2666 |                         numpy._core.shape_base
import time:       271 |        271 |                         numpy._core._ufunc_config
import time:       153 |        153 |                         numpy._core._asarray
import time:       615 |        615 |                         numpy._core.arrayprint
import time:       678 |       4381 |                       numpy._core.numeric
import time:       904 |       5285 |                     numpy._core.einsumfunc
import time:       248 |        248 |                     numpy._core.function_base
import time:       244 |        244 |                     numpy._core.getlimits
import time:       209 |        209 |                     numpy._core.memmap
import time:       680 |        680 |                     numpy._core.records
import time:      3323 |       3323 |                     numpy._core._add_newdocs
import time:       517 |        517 |                     numpy._core._add_newdocs_scalars
import time:       257 |        257 |                     numpy._core._dtype
import time:       116 |        116 |                     numpy._core._dtype_ctypes
import time:       603 |        603 |                     numpy._core._internal
import time:       130 |        130 |                     numpy._pytesttester
import time:       371 |      21601 |                   numpy._core
import time:        12 |      21613 |                 numpy._core._multiarray_umath
import time:       201 |      21813 |               numpy.__config__
import time:       548 |        548 |                                 numpy._typing._nbit_base
import time:      4435 |       4435 |                                 numpy._typing._nested_sequence
import time:       229 |        229 |                                 numpy._typing._shape
import time:      1046 |       6257 |                               numpy._typing._array_like
import time:       464 |        464 |                               numpy._typing._char_codes
import time:       333 |        333 |                               numpy._typing._dtype_like
import time:       240 |        240 |                               numpy._typing._nbit
import time:       207 |        207 |                               numpy._typing._scalars
import time:       206 |        206 |                               numpy._typing._ufunc
import time:       334 |       8038 |                             numpy._typing
import time:       169 |        169 |                                 numpy.lib._array_utils_impl
import time:       417 |        585 |                               numpy.lib._stride_tricks_impl
import time:       451 |       1035 |                             numpy.lib._twodim_base_impl
import time:       305 |        305 |                             numpy.lib.array_utils
import time:      1307 |       1307 |                             numpy.linalg._umath_linalg
import time:       947 |      11630 |                           numpy.linalg._linalg
import time:       325 |      11955 |                         numpy.linalg
import time:       303 |      12257 |                       numpy.matrixlib.defmatrix
import time:       297 |      12553 |                     numpy.matrixlib
import time:       333 |        333 |                       numpy.lib._histograms_impl
import time:       938 |       1270 |                     numpy.lib._function_base_impl
import time:       547 |      14370 |                   numpy.lib._index_tricks_impl
import time:       830 |      15199 |                 numpy.lib._arraypad_impl
import time:       545 |        545 |                 numpy.lib._arraysetops_impl
import time:       386 |        386 |                 numpy.lib._arrayterator_impl
import time:       368 |        368 |                 numpy.lib._nanfunctions_impl
import time:       234 |        234 |                       numpy.lib._utils_impl
import time:       266 |        500 |                     numpy.lib._format_impl
import time:       299 |        799 |                   numpy.lib.format
import time:       248 |        248 |                   numpy.lib._datasource
import time:       319 |        319 |                   numpy.lib._iotools
import time:       466 |       1830 |                 numpy.lib._npyio_impl
import time:       148 |        148 |                     numpy.lib._ufunclike_impl
import time:       270 |        418 |                   numpy.lib._type_check_impl
import time:       446 |        863 |                 numpy.lib._polynomial_impl
import time:       473 |        473 |                 numpy.lib._shape_base_impl
import time:       191 |        191 |                 numpy.lib._version
import time:       174 |        174 |                 numpy.lib.introspect
import time:       333 |        333 |                 numpy.lib.mixins
import time:       145 |        145 |                 numpy.lib.npyio
import time:       260 |        260 |                   numpy.lib._scimath_impl
import time:       168 |        428 |                 numpy.lib.scimath
import time:       166 |        166 |                 numpy.lib.stride_tricks
import time:       456 |      21550 |               numpy.lib
import time:       203 |        203 |               numpy._array_api_info
import time:      1170 |      46971 |             numpy
import time:       789 |      47760 |           livekit.rtc.audio_mixer
import time:       241 |        241 |           livekit.rtc.apm
import time:       614 |        614 |           livekit.rtc.platform_audio
import time:       568 |        568 |           livekit.rtc.media_devices
import time:       178 |        178 |           livekit.rtc.utils
import time:       263 |        263 |           livekit.rtc.synchronizer
import time:       746 |      77206 |         livekit.rtc
import time:       477 |        477 |         livekit.agents.log
import time:       504 |        504 |         livekit.agents.observability
import time:       546 |        546 |                 aiohttp.web_response
import time:       800 |       1346 |               aiohttp.web_exceptions
import time:      1071 |       2416 |             aiohttp.web_request
import time:       568 |        568 |                 gettext
import time:       753 |       1321 |               argparse
import time:       486 |        486 |                 aiohttp.web_log
import time:       816 |        816 |                       html.entities
import time:       503 |       1319 |                     html
import time:      2099 |       2099 |                     aiohttp.web_fileresponse
import time:       728 |        728 |                     aiohttp.web_routedef
import time:      1353 |       5497 |                   aiohttp.web_urldispatcher
import time:       254 |       5751 |                 aiohttp.web_middlewares
import time:       739 |        739 |                 aiohttp.web_protocol
import time:       251 |        251 |                 aiohttp.web_server
import time:       602 |       7827 |               aiohttp.web_app
import time:       380 |        380 |               aiohttp.web_runner
import time:       684 |        684 |               aiohttp.web_ws
import time:       331 |      10541 |             aiohttp.web
import time:       386 |        386 |                 gzip
import time:       536 |        536 |                   socketserver
import time:      1698 |       2233 |                 http.server
import time:       255 |        255 |                   wsgiref
import time:       170 |        170 |                     wsgiref.util
import time:       230 |        230 |                     wsgiref.headers
import time:       366 |        765 |                   wsgiref.handlers
import time:       500 |       1519 |                 wsgiref.simple_server
import time:       292 |        292 |                 prometheus_client.openmetrics
import time:       279 |        279 |                   prometheus_client.utils
import time:       290 |        290 |                   prometheus_client.validation
import time:       427 |        995 |                 prometheus_client.openmetrics.exposition
